feature,display_name,group,mean_abs_shap,std_abs_shap
cnn_emb_172,cnn_emb_172,CNN Embedding,0.0,0.0
cnn_emb_173,cnn_emb_173,CNN Embedding,0.0,0.0
cnn_emb_174,cnn_emb_174,CNN Embedding,0.0,0.0
cnn_emb_175,cnn_emb_175,CNN Embedding,0.0,0.0
cnn_emb_176,cnn_emb_176,CNN Embedding,0.0,0.0
cnn_emb_177,cnn_emb_177,CNN Embedding,0.0,0.0
cnn_emb_178,cnn_emb_178,CNN Embedding,0.0,0.0
cnn_emb_180,cnn_emb_180,CNN Embedding,0.0,0.0
cnn_emb_181,cnn_emb_181,CNN Embedding,0.0,0.0
cnn_emb_182,cnn_emb_182,CNN Embedding,0.0,0.0
cnn_emb_183,cnn_emb_183,CNN Embedding,0.0,0.0
cnn_emb_184,cnn_emb_184,CNN Embedding,0.0,0.0
cnn_emb_185,cnn_emb_185,CNN Embedding,0.0,0.0
cnn_emb_186,cnn_emb_186,CNN Embedding,0.0,0.0
cnn_emb_187,cnn_emb_187,CNN Embedding,0.0,0.0
cnn_emb_188,cnn_emb_188,CNN Embedding,0.0,0.0
cnn_emb_189,cnn_emb_189,CNN Embedding,0.0,0.0
cnn_emb_191,cnn_emb_191,CNN Embedding,0.0,0.0
cnn_emb_192,cnn_emb_192,CNN Embedding,0.0,0.0
cnn_emb_193,cnn_emb_193,CNN Embedding,0.0,0.0
cnn_emb_194,cnn_emb_194,CNN Embedding,0.0,0.0
cnn_emb_195,cnn_emb_195,CNN Embedding,0.0,0.0
cnn_emb_196,cnn_emb_196,CNN Embedding,0.0,0.0
cnn_emb_197,cnn_emb_197,CNN Embedding,0.0,0.0
cnn_emb_198,cnn_emb_198,CNN Embedding,0.0,0.0
cnn_emb_199,cnn_emb_199,CNN Embedding,0.0,0.0
cnn_emb_200,cnn_emb_200,CNN Embedding,0.0,0.0
cnn_emb_201,cnn_emb_201,CNN Embedding,0.0,0.0
cnn_emb_202,cnn_emb_202,CNN Embedding,0.0,0.0
cnn_emb_203,cnn_emb_203,CNN Embedding,0.0,0.0
cnn_emb_204,cnn_emb_204,CNN Embedding,0.0,0.0
cnn_emb_205,cnn_emb_205,CNN Embedding,0.0,0.0
cnn_emb_206,cnn_emb_206,CNN Embedding,0.0,0.0
cnn_emb_207,cnn_emb_207,CNN Embedding,0.0,0.0
cnn_emb_208,cnn_emb_208,CNN Embedding,0.0,0.0
cnn_emb_209,cnn_emb_209,CNN Embedding,0.0,0.0
cnn_emb_210,cnn_emb_210,CNN Embedding,0.0,0.0
cnn_emb_211,cnn_emb_211,CNN Embedding,0.0,0.0
cnn_emb_212,cnn_emb_212,CNN Embedding,0.0,0.0
cnn_emb_213,cnn_emb_213,CNN Embedding,0.0,0.0
cnn_emb_214,cnn_emb_214,CNN Embedding,0.0,0.0
cnn_emb_215,cnn_emb_215,CNN Embedding,0.0,0.0
cnn_emb_216,cnn_emb_216,CNN Embedding,0.0,0.0
cnn_emb_217,cnn_emb_217,CNN Embedding,0.0,0.0
cnn_emb_218,cnn_emb_218,CNN Embedding,0.0,0.0
cnn_emb_219,cnn_emb_219,CNN Embedding,0.0,0.0
cnn_emb_220,cnn_emb_220,CNN Embedding,0.0,0.0
cnn_emb_222,cnn_emb_222,CNN Embedding,0.0,0.0
cnn_emb_223,cnn_emb_223,CNN Embedding,0.0,0.0
cnn_emb_224,cnn_emb_224,CNN Embedding,0.0,0.0
cnn_emb_225,cnn_emb_225,CNN Embedding,0.0,0.0
cnn_emb_226,cnn_emb_226,CNN Embedding,0.0,0.0
cnn_emb_227,cnn_emb_227,CNN Embedding,0.0,0.0
cnn_emb_228,cnn_emb_228,CNN Embedding,0.0,0.0
cnn_emb_229,cnn_emb_229,CNN Embedding,0.0,0.0
cnn_emb_230,cnn_emb_230,CNN Embedding,0.0,0.0
cnn_emb_231,cnn_emb_231,CNN Embedding,0.0,0.0
cnn_emb_232,cnn_emb_232,CNN Embedding,0.0,0.0
cnn_emb_233,cnn_emb_233,CNN Embedding,0.0,0.0
cnn_emb_234,cnn_emb_234,CNN Embedding,0.0,0.0
cnn_emb_235,cnn_emb_235,CNN Embedding,0.0,0.0
cnn_emb_236,cnn_emb_236,CNN Embedding,0.0,0.0
cnn_emb_237,cnn_emb_237,CNN Embedding,0.0,0.0
cnn_emb_238,cnn_emb_238,CNN Embedding,0.0,0.0
cnn_emb_239,cnn_emb_239,CNN Embedding,0.0,0.0
cnn_emb_240,cnn_emb_240,CNN Embedding,0.0,0.0
cnn_emb_241,cnn_emb_241,CNN Embedding,0.0,0.0
cnn_emb_242,cnn_emb_242,CNN Embedding,0.0,0.0
cnn_emb_243,cnn_emb_243,CNN Embedding,0.0,0.0
cnn_emb_244,cnn_emb_244,CNN Embedding,0.0,0.0
cnn_emb_245,cnn_emb_245,CNN Embedding,0.0,0.0
cnn_emb_246,cnn_emb_246,CNN Embedding,0.0,0.0
cnn_emb_247,cnn_emb_247,CNN Embedding,0.0,0.0
cnn_emb_248,cnn_emb_248,CNN Embedding,0.0,0.0
cnn_emb_249,cnn_emb_249,CNN Embedding,0.0,0.0
cnn_emb_250,cnn_emb_250,CNN Embedding,0.0,0.0
cnn_emb_251,cnn_emb_251,CNN Embedding,0.0,0.0
cnn_emb_252,cnn_emb_252,CNN Embedding,0.0,0.0
cnn_emb_253,cnn_emb_253,CNN Embedding,0.0,0.0
cnn_emb_254,cnn_emb_254,CNN Embedding,0.0,0.0
cnn_emb_255,cnn_emb_255,CNN Embedding,0.0,0.0
cnn_emb_256,cnn_emb_256,CNN Embedding,0.0,0.0
cnn_emb_257,cnn_emb_257,CNN Embedding,0.0,0.0
cnn_emb_258,cnn_emb_258,CNN Embedding,0.0,0.0
cnn_emb_259,cnn_emb_259,CNN Embedding,0.0,0.0
cnn_emb_260,cnn_emb_260,CNN Embedding,0.0,0.0
cnn_emb_262,cnn_emb_262,CNN Embedding,0.0,0.0
cnn_emb_263,cnn_emb_263,CNN Embedding,0.0,0.0
cnn_emb_264,cnn_emb_264,CNN Embedding,0.0,0.0
cnn_emb_265,cnn_emb_265,CNN Embedding,0.0,0.0
cnn_emb_266,cnn_emb_266,CNN Embedding,0.0,0.0
cnn_emb_267,cnn_emb_267,CNN Embedding,0.0,0.0
cnn_emb_268,cnn_emb_268,CNN Embedding,0.0,0.0
cnn_emb_269,cnn_emb_269,CNN Embedding,0.0,0.0
cnn_emb_270,cnn_emb_270,CNN Embedding,0.0,0.0
cnn_emb_271,cnn_emb_271,CNN Embedding,0.0,0.0
cnn_emb_272,cnn_emb_272,CNN Embedding,0.0,0.0
cnn_emb_273,cnn_emb_273,CNN Embedding,0.0,0.0
cnn_emb_274,cnn_emb_274,CNN Embedding,0.0,0.0
cnn_emb_275,cnn_emb_275,CNN Embedding,0.0,0.0
cnn_emb_276,cnn_emb_276,CNN Embedding,0.0,0.0
cnn_emb_277,cnn_emb_277,CNN Embedding,0.0,0.0
cnn_emb_278,cnn_emb_278,CNN Embedding,0.0,0.0
cnn_emb_279,cnn_emb_279,CNN Embedding,0.0,0.0
cnn_emb_280,cnn_emb_280,CNN Embedding,0.0,0.0
cnn_emb_281,cnn_emb_281,CNN Embedding,0.0,0.0
cnn_emb_282,cnn_emb_282,CNN Embedding,0.0,0.0
cnn_emb_283,cnn_emb_283,CNN Embedding,0.0,0.0
cnn_emb_286,cnn_emb_286,CNN Embedding,0.0,0.0
cnn_emb_287,cnn_emb_287,CNN Embedding,0.0,0.0
cnn_emb_288,cnn_emb_288,CNN Embedding,0.0,0.0
cnn_emb_289,cnn_emb_289,CNN Embedding,0.0,0.0
cnn_emb_290,cnn_emb_290,CNN Embedding,0.0,0.0
cnn_emb_291,cnn_emb_291,CNN Embedding,0.0,0.0
cnn_emb_292,cnn_emb_292,CNN Embedding,0.0,0.0
cnn_emb_293,cnn_emb_293,CNN Embedding,0.0,0.0
cnn_emb_295,cnn_emb_295,CNN Embedding,0.0,0.0
cnn_emb_296,cnn_emb_296,CNN Embedding,0.0,0.0
cnn_emb_297,cnn_emb_297,CNN Embedding,0.0,0.0
cnn_emb_298,cnn_emb_298,CNN Embedding,0.0,0.0
cnn_emb_299,cnn_emb_299,CNN Embedding,0.0,0.0
cnn_emb_300,cnn_emb_300,CNN Embedding,0.0,0.0
cnn_emb_301,cnn_emb_301,CNN Embedding,0.0,0.0
cnn_emb_302,cnn_emb_302,CNN Embedding,0.0,0.0
cnn_emb_304,cnn_emb_304,CNN Embedding,0.0,0.0
cnn_emb_306,cnn_emb_306,CNN Embedding,0.0,0.0
cnn_emb_307,cnn_emb_307,CNN Embedding,0.0,0.0
cnn_emb_308,cnn_emb_308,CNN Embedding,0.0,0.0
cnn_emb_309,cnn_emb_309,CNN Embedding,0.0,0.0
cnn_emb_310,cnn_emb_310,CNN Embedding,0.0,0.0
cnn_emb_311,cnn_emb_311,CNN Embedding,0.0,0.0
cnn_emb_312,cnn_emb_312,CNN Embedding,0.0,0.0
cnn_emb_313,cnn_emb_313,CNN Embedding,0.0,0.0
cnn_emb_314,cnn_emb_314,CNN Embedding,0.0,0.0
cnn_emb_315,cnn_emb_315,CNN Embedding,0.0,0.0
cnn_emb_316,cnn_emb_316,CNN Embedding,0.0,0.0
cnn_emb_317,cnn_emb_317,CNN Embedding,0.0,0.0
cnn_emb_318,cnn_emb_318,CNN Embedding,0.0,0.0
cnn_emb_319,cnn_emb_319,CNN Embedding,0.0,0.0
cnn_emb_320,cnn_emb_320,CNN Embedding,0.0,0.0
