threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std
0.3699999999999999,0.7616013071895424,0.1404220810988758,0.3666666666666667,0.5055250296034367,0.32666666666666666,0.44746197852132896,0.9833333333333334,0.03726779962499651,0.34444444444444444,0.4720587952499556
0.3799999999999999,0.7366013071895424,0.1088562931551762,0.4,0.5477225575051662,0.21333333333333332,0.3069563848859024,1.0,0.0,0.2742857142857143,0.38417683003363684
0.3899999999999999,0.7254901960784313,0.09075663010129524,0.4,0.5477225575051662,0.18,0.24899799195977465,1.0,0.0,0.24761904761904763,0.3407341679999679
0.3999999999999998,0.7018790849673202,0.05977774302919369,0.4,0.5477225575051662,0.10666666666666666,0.1534781924429512,1.0,0.0,0.16666666666666666,0.23570226039551584
0.4099999999999998,0.6893790849673203,0.05339335133603316,0.2,0.447213595499958,0.06666666666666667,0.14907119849998599,1.0,0.0,0.1,0.223606797749979
0.4199999999999998,0.6893790849673203,0.05339335133603316,0.2,0.447213595499958,0.06666666666666667,0.14907119849998599,1.0,0.0,0.1,0.223606797749979
0.4299999999999998,0.6893790849673203,0.05339335133603316,0.2,0.447213595499958,0.06666666666666667,0.14907119849998599,1.0,0.0,0.1,0.223606797749979
0.43999999999999984,0.6893790849673203,0.05339335133603316,0.2,0.447213595499958,0.06666666666666667,0.14907119849998599,1.0,0.0,0.1,0.223606797749979
0.44999999999999984,0.6782679738562092,0.031821607011202735,0.2,0.447213595499958,0.03333333333333333,0.07453559924999299,1.0,0.0,0.05714285714285714,0.12777531299998798
0.45999999999999985,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.46999999999999986,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.47999999999999976,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.48999999999999977,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.4999999999999998,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5099999999999998,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5199999999999998,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5299999999999998,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5399999999999998,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5499999999999998,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
