Feature,Importance,Std
CNN_cnn_feature_1274,0.008461930682858899,0.002458199781819395
CNN_cnn_feature_1714,0.008271891411116615,0.0044429665221272915
CNN_cnn_feature_134,0.008214499808374753,0.0015641613099155495
CNN_cnn_feature_748,0.008167440712410672,0.003159334239237412
CNN_cnn_feature_986,0.008152361668730113,0.004404475866701278
CNN_cnn_feature_538,0.008143508597316646,0.0040556311209943964
Avg_NumTissuePixel_30_60,0.008027821441404518,0.003130884364996046
CNN_cnn_feature_857,0.007999480652464561,0.002455800982529665
CNN_cnn_feature_1071,0.007987621504958164,0.005511646581604947
CNN_cnn_feature_177,0.00798265586568153,0.002563856684164975
CNN_cnn_feature_535,0.00787899100388858,0.0028312281419210716
Log_NumPixels,0.007760539179620008,0.0022972900201468248
CNN_cnn_feature_1878,0.007536702244453147,0.0027533800107155046
CNN_cnn_feature_1934,0.007516744550777598,0.0037420862106826206
CNN_cnn_feature_526,0.007481756451125042,0.0026608842449156052
CNN_cnn_feature_1593,0.007385346832351186,0.00337008266845131
CNN_cnn_feature_275,0.007322854593581471,0.0019076772653105864
CNN_cnn_feature_1930,0.007259934380900212,0.004185142193755662
CNN_cnn_feature_979,0.0071951184434444595,0.00292683072995307
CNN_cnn_feature_0,0.0068253479533858935,0.0027950574697868714
CNN_cnn_feature_3,0.006667533735030662,0.00316112055509193
CNN_cnn_feature_758,0.006661611448753336,0.0026495123241901566
CNN_cnn_feature_1627,0.006621218625961017,0.0009799755056433246
CNN_cnn_feature_390,0.006586995848799742,0.004393967166779644
CNN_cnn_feature_1836,0.006543429288877368,0.00403076998845588
CNN_cnn_feature_360,0.006538027865275087,0.0016833771738451668
CNN_cnn_feature_911,0.006397015585839795,0.001888901722129016
CNN_cnn_feature_722,0.0063333802459369926,0.0035232298951784606
CNN_cnn_feature_358,0.0063175359846108555,0.0021836304021742433
CNN_cnn_feature_1056,0.006308944732637914,0.0022462880581639497
CNN_cnn_feature_316,0.006281605301294679,0.0029089452710236133
CNN_cnn_feature_923,0.006191350862032321,0.0031893486492674305
CNN_cnn_feature_837,0.006113216501934179,0.0016893363362316637
CNN_cnn_feature_1181,0.00610333400440905,0.0019185908933068636
