Feature,Importance,Std
Tissue_Squared,0.0036952155236739614,0.0016827953866045918
Avg_TissueByTotal_30_60,0.0035348095474619277,0.002165813991380594
CNN_cnn_feature_1389,0.0034965894428138945,0.001582976507904467
Distribution_Complexity,0.003426578268787373,0.0008438871674157541
Age_Squared,0.003348740211896903,0.0021542439593063567
Avg_Tissue_30_60,0.0033324838814397205,0.0011633444250005258
Age_Tissue_Interaction,0.00332676191698116,0.0015510548131397082
Age,0.0030863398123138924,0.001586104581834117
CNN_cnn_feature_160,0.0030802227448634882,0.0008173536334337339
Age_TissueByLung,0.00304857235408891,0.0006958203219981888
Avg_TissueByLung_30_60,0.0029144764417700156,0.001370084120347455
Smoking_Tissue,0.002438242907016659,0.0013313457266951156
Age_Group,0.0014483057822167803,0.001746234473816462
Tissue_Severity,0.0007399161072129493,0.0007040475335637003
SmokingStatus,0.0006129380759456066,0.0004327191401540641
Sex,0.00023383216883918382,0.00026275482082267743
